Temperature_K,Cp_J_mol_K
300.0,40.25
303.8,39.6
307.6,41.08
311.4,42.7
315.2,40.38
319.0,40.69
322.8,43.72
326.6,42.81
330.4,41.27
334.2,43.11
338.0,41.91
341.8,42.23
345.6,43.61
349.4,40.7
353.2,41.31
357.0,48.74
360.8,43.03
364.6,45.34
368.4,43.84
372.2,43.41
375.9,48.06
379.7,45.86
383.5,46.63
387.3,44.73
391.1,46.39
394.9,47.71
398.7,
402.5,48.79
406.3,47.67
410.1,48.48
413.9,48.36
417.7,52.39
421.5,49.94
425.3,48.72
429.1,51.9
432.9,49.18
436.7,51.68
440.5,48.79
444.3,50.09
448.1,52.74
451.9,53.91
455.7,53.42
459.5,53.36
463.3,
467.1,52.05
470.9,53.55
474.7,
478.5,56.96
482.3,49.7
486.1,53.47
489.9,56.98
493.7,56.29
497.5,56.23
501.3,58.54
505.1,59.55
508.9,59.79
512.7,57.52
516.5,58.7
520.3,60.04
524.1,61.4
527.8,59.6
531.6,60.44
535.4,59.45
539.2,59.71
543.0,63.12
546.8,64.33
550.6,62.58
554.4,64.6
558.2,64.03
562.0,62.93
565.8,64.84
569.6,67.01
573.4,65.06
577.2,67.87
581.0,62.0
584.8,67.57
588.6,66.88
592.4,67.29
596.2,67.72
600.0,65.02
