Timestamp,Reactor_ID,Temperature_C,Pressure_bar,Flow_rate_L_min,Conversion_pct,Status
2024-01-01 00:00:00,R-101,83.3,3.88,162.5,83.3,operational
2024-01-01 00:00:00,R-102,81.3,3.74,148.2,82.1,operational
2024-01-01 00:00:00,R-103,84.8,3.62,146.0,79.0,operational
2024-01-01 00:00:00,R-104,80.1,3.57,147.0,88.7,operational
2024-01-01 00:00:00,R-105,83.6,3.52,143.3,77.1,operational
2024-01-01 01:00:00,R-101,82.8,4.11,152.3,79.6,operational
2024-01-01 01:00:00,R-102,81.8,4.38,148.0,84.7,maintenance
2024-01-01 01:00:00,R-103,89.7,4.11,144.7,76.0,operational
2024-01-01 01:00:00,R-104,80.6,2.95,145.6,78.1,operational
2024-01-01 01:00:00,R-105,85.0,3.97,141.9,75.0,operational
2024-01-01 02:00:00,R-101,80.3,3.78,149.6,81.9,operational
2024-01-01 02:00:00,R-102,85.0,4.08,151.2,82.7,operational
2024-01-01 02:00:00,R-103,89.0,4.17,141.3,74.9,maintenance
2024-01-01 02:00:00,R-104,80.6,3.29,154.7,79.7,operational
2024-01-01 02:00:00,R-105,87.2,,144.0,76.5,operational
2024-01-01 03:00:00,R-101,86.7,3.88,155.0,76.7,operational
2024-01-01 03:00:00,R-102,84.7,4.16,147.9,85.7,operational
2024-01-01 03:00:00,R-103,85.4,3.82,145.1,76.6,operational
2024-01-01 03:00:00,R-104,81.8,,148.0,74.9,operational
2024-01-01 03:00:00,R-105,86.9,3.79,143.4,69.6,operational
2024-01-01 04:00:00,R-101,81.4,4.06,151.6,80.1,operational
2024-01-01 04:00:00,R-102,83.0,4.48,148.2,77.1,operational
2024-01-01 04:00:00,R-103,86.2,3.66,147.0,75.6,operational
2024-01-01 04:00:00,R-104,80.3,3.74,145.8,76.4,operational
2024-01-01 04:00:00,R-105,84.9,3.91,148.5,75.5,operational
2024-01-01 05:00:00,R-101,83.7,3.63,158.8,77.3,operational
2024-01-01 05:00:00,R-102,86.0,3.75,146.2,75.7,operational
2024-01-01 05:00:00,R-103,86.5,4.17,150.3,75.8,operational
2024-01-01 05:00:00,R-104,83.3,3.47,150.8,79.5,operational
2024-01-01 05:00:00,R-105,84.8,3.93,142.0,79.5,operational
2024-01-01 06:00:00,R-101,81.1,4.01,158.3,81.5,operational
2024-01-01 06:00:00,R-102,83.4,3.22,140.5,83.7,operational
2024-01-01 06:00:00,R-103,88.4,3.59,153.4,77.8,maintenance
2024-01-01 06:00:00,R-104,84.0,3.4,144.8,79.7,maintenance
2024-01-01 06:00:00,R-105,85.7,3.75,151.9,74.1,operational
2024-01-01 07:00:00,R-101,83.5,3.86,147.2,78.8,operational
2024-01-01 07:00:00,R-102,82.4,3.93,148.4,77.9,operational
2024-01-01 07:00:00,R-103,86.8,3.82,139.6,73.3,operational
2024-01-01 07:00:00,R-104,84.6,3.97,157.1,80.2,operational
2024-01-01 07:00:00,R-105,82.8,3.69,138.0,77.0,operational
2024-01-01 08:00:00,R-101,84.4,,156.3,79.8,operational
2024-01-01 08:00:00,R-102,83.9,3.95,149.4,75.3,operational
2024-01-01 08:00:00,R-103,90.5,4.36,150.7,78.2,operational
2024-01-01 08:00:00,R-104,83.8,3.13,147.1,77.3,operational
2024-01-01 08:00:00,R-105,80.2,3.89,146.1,74.6,operational
2024-01-01 09:00:00,R-101,82.4,4.13,159.8,83.8,operational
2024-01-01 09:00:00,R-102,82.3,3.86,157.4,83.3,operational
