City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Amaravati,2017-11-24,71.36,115.75,1.75,20.65,22.4,12.19,0.1,10.76,109.26,0.17,5.92,,136.36689655172412,Moderate
Amaravati,2017-11-25,81.4,124.5,1.44,20.5,21.94,,0.12,15.24,127.09,,6.5,0.06,170.64137931034486,Moderate
Amaravati,2017-11-26,78.32,129.06,1.26,26.0,27.26,10.28,0.14,,117.44,0.22,7.95,0.08,160.12689655172412,Moderate
Amaravati,2017-11-27,88.76,135.32,6.6,30.85,37.45,12.91,,33.59,111.81,0.29,7.63,0.12,195.76689655172416,Moderate
Amaravati,2017-11-28,64.18,104.09,2.56,28.07,30.63,11.42,0.09,19.0,138.18,0.17,5.02,0.07,155.93761194029852,Moderate
Amaravati,2017-11-29,,114.84,5.23,,,12.25,0.16,10.55,921.556469952955,0.21,4.71,0.08,140.15620689655174,Moderate
Amaravati,2017-11-30,,114.86,4.69,20.17,24.860000000000003,10.95,0.12,14.07,118.09,0.16,3.52,0.06,131.0413793103448,Moderate
Amaravati,2017-12-01,73.96,113.56,4.58,19.29,23.87,10.95,0.1,13.9,123.8,0.17,2.85,0.04,145.24275862068964,Moderate
Amaravati,2017-12-02,89.9,140.2,7.71,26.19,33.9,13.12,0.1,19.37,128.73,0.25,2.79,0.07,199.6586206896552,Moderate
Amaravati,2017-12-03,87.14,130.52,0.97,21.31,22.28,14.36,0.15,,114.8,0.23,3.82,0.04,190.23655172413797,Moderate
Amaravati,2017-12-04,84.64,125.0,4.02,26.98,31.0,14.41,0.18,9.84,112.41,0.31,3.53,0.09,181.70206896551724,Moderate
Amaravati,2017-12-05,88.36,121.77,3.7,20.23,23.93,13.72,0.12,14.02,117.93,0.24,2.92,0.03,194.4013793103448,Moderate
Amaravati,2017-12-06,96.83,139.36,1.6,25.65,27.25,15.12,0.11,16.54,117.21,0.29,4.45,0.07,220.90241379310345,Poor
Amaravati,2017-12-07,117.46,181.64,4.26,41.1,45.36,17.34,,28.79,94.63,0.36,6.21,0.17,291.3289655172414,Poor
Amaravati,2017-12-08,122.88,,5.56,54.87,60.43,17.96,0.27,22.97,68.6,0.36,6.28,0.21,302.4427906976744,Very Poor
Amaravati,2017-12-09,74.28,141.22,6.1,44.97,51.07,15.73,,21.9,60.62,0.26,,0.16,146.33517241379312,Moderate
Amaravati,2017-12-10,50.32,102.77,1.73,33.85,35.58,12.56,0.1,13.65,68.15,0.2,4.29,0.1,102.17604026845638,Moderate
Amaravati,2017-12-11,,115.27,4.93,,,15.2,0.16,18.37,73.75,0.23,5.51,0.16,110.48140939597316,Moderate
Amaravati,2017-12-12,89.35,131.48,7.97,42.1,50.07,21.24,0.24,7.42,44.67,0.28,7.01,,197.7810344827586,Moderate
Amaravati,2017-12-13,,99.74,7.2,34.78,41.98,17.63,0.15,,50.16,0.24,,0.14,112.6751724137931,Moderate
Amaravati,2017-12-14,69.4,98.94,5.81,29.97,35.78,19.34,0.14,5.8,55.0,0.23,5.09,0.14,129.67586206896553,Moderate
