City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Amaravati,2017-11-24,71.36,115.75,1.75,20.65,22.4,12.19,0.1,10.76,109.26,0.17,5.92,0.1,,
Amaravati,2017-11-25,81.4,124.5,1.44,20.5,21.94,10.72,0.12,15.24,127.09,0.2,6.5,0.06,184.0,Moderate
Amaravati,2017-11-26,78.32,129.06,1.26,,27.26,10.28,0.14,26.96,117.44,0.22,7.95,0.08,197.0,Moderate
Amaravati,2017-11-27,88.76,135.32,6.6,30.85,37.45,12.91,0.11,33.59,111.81,0.29,7.63,0.12,198.0,Moderate
Amaravati,2017-11-28,64.18,104.09,2.56,28.07,30.63,11.42,0.09,19.0,138.18,0.17,5.02,0.07,188.0,Moderate
Amaravati,2017-11-29,72.47,114.84,5.23,23.2,28.43,12.25,0.16,10.55,109.74,0.21,4.71,0.08,173.0,Moderate
Amaravati,2017-11-30,69.8,114.86,4.69,20.17,24.860000000000003,10.95,0.12,14.07,118.09,0.16,3.52,0.06,165.0,Moderate
Amaravati,2017-12-01,73.96,113.56,4.58,19.29,,10.95,0.1,13.9,123.8,0.17,2.85,0.04,191.0,Moderate
Amaravati,2017-12-02,89.9,140.2,7.71,26.19,33.9,13.12,0.1,19.37,128.73,0.25,2.79,0.07,191.0,Moderate
Amaravati,2017-12-03,87.14,130.52,0.97,21.31,22.279999999999998,14.36,0.15,11.41,114.8,0.23,3.82,0.04,227.0,Poor
Amaravati,2017-12-04,84.64,125.0,4.02,,31.0,14.41,0.18,9.84,112.41,0.31,3.53,0.09,168.0,Moderate
Amaravati,2017-12-05,88.36,121.77,3.7,20.23,23.93,13.72,0.12,14.02,117.93,0.24,2.92,0.03,198.0,Moderate
Amaravati,2017-12-06,96.83,139.36,1.6,25.65,27.25,15.12,0.11,16.54,117.21,0.29,4.45,0.07,201.0,Poor
Amaravati,2017-12-07,117.46,181.64,4.26,41.1,45.36,17.34,0.13,28.79,94.63,0.36,6.21,0.17,252.0,Poor
Amaravati,2017-12-08,122.88,208.86,5.56,54.87,60.43,17.96,0.27,22.97,68.6,0.36,6.28,0.21,310.0,Very Poor
Amaravati,2017-12-09,74.28,141.22,6.1,44.97,51.07,15.73,0.09,21.9,60.62,0.26,4.79,0.16,196.0,Moderate
Amaravati,2017-12-10,50.32,102.77,1.73,33.85,35.58,12.56,0.1,13.65,68.15,0.2,4.29,0.1,132.0,Moderate
Amaravati,2017-12-11,58.47,115.27,4.93,41.64,46.57,15.2,0.16,18.37,73.75,0.23,5.51,0.16,147.0,Moderate
Amaravati,2017-12-12,89.35,131.48,7.97,42.1,50.07,21.24,0.24,7.42,44.67,0.28,7.01,0.19,179.0,Moderate
Amaravati,2017-12-13,64.42,99.74,7.2,34.78,41.980000000000004,17.63,0.15,5.81,50.16,0.24,6.11,0.14,145.0,Moderate
Amaravati,2017-12-14,69.4,98.94,5.81,29.97,35.78,19.34,0.14,5.8,55.0,0.23,5.09,0.14,115.0,Moderate
Amaravati,2017-12-15,71.07,109.65,4.19,25.0,29.19,16.0,0.1,8.33,79.04,0.18,3.45,0.07,140.0,Moderate
Amaravati,2017-12-16,79.76,129.81,8.77,40.92,49.69,15.56,0.17,8.51,73.17,0.24,4.41,0.13,156.0,Moderate
Amaravati,2017-12-17,108.06,167.62,,47.05,54.339999999999996,18.52,0.08,16.05,70.74,0.31,4.32,0.24,225.0,Poor
Amaravati,2017-12-18,100.75,172.04,7.63,53.94,61.57,18.49,0.11,14.05,59.2,0.26,3.77,0.19,251.0,Poor
Amaravati,2017-12-19,106.25,171.56,2.74,43.09,45.830000000000005,19.66,0.13,15.45,66.9,0.28,3.13,0.18,228.0,Poor
Amaravati,2017-12-20,83.79,141.83,6.77,47.47,54.239999999999995,17.37,0.3,13.35,77.54,0.29,3.7,0.15,223.0,Poor
Amaravati,2017-12-21,79.98,147.74,7.02,49.55,56.56999999999999,17.28,0.14,13.58,79.71,0.33,3.95,0.19,170.0,Moderate
Amaravati,2017-12-22,76.27,152.59,7.51,56.0,63.51,19.53,0.15,29.88,56.97,0.29,4.44,0.19,165.0,Moderate
Amaravati,2017-12-23,86.5,147.95,5.24,42.0,,20.78,0.15,11.85,73.09,0.31,3.9,0.17,159.0,Moderate
Amaravati,2017-12-24,100.62,167.75,,47.68,51.43,23.68,0.22,10.85,62.78,0.34,4.81,0.29,232.0,Poor
Amaravati,2017-12-25,110.73,171.47,1.69,31.06,,21.66,0.1,12.23,76.07,0.33,3.96,0.16,242.0,Poor
Amaravati,2017-12-26,107.7,170.21,4.97,43.54,48.51,22.52,0.17,18.07,64.6,0.33,4.01,0.16,274.0,Poor
Amaravati,2017-12-27,104.81,192.2,9.59,,73.07,21.06,0.23,17.01,63.87,0.38,4.1,0.36,259.0,Poor
Amaravati,2017-12-28,89.95,175.16,10.95,64.53,75.48,18.87,0.27,15.52,62.49,0.36,4.12,0.23,225.0,Poor
Amaravati,2017-12-29,74.58,138.6,6.14,46.65,52.79,18.2,0.17,9.47,67.11,0.32,3.76,0.18,177.0,Moderate
Amaravati,2017-12-30,56.68,109.33,4.6,33.26,37.86,16.86,0.1,8.26,66.91,0.25,3.28,0.14,120.0,Moderate
Amaravati,2017-12-31,61.03,131.62,5.51,39.5,45.01,17.82,0.08,11.45,61.91,0.33,4.16,0.19,120.0,Moderate
Amaravati,2018-01-01,59.03,108.83,3.45,23.36,26.81,18.03,0.09,26.05,87.55,0.23,3.2,0.09,120.0,Moderate
Amaravati,2018-01-02,61.88,109.82,3.87,23.14,,19.57,0.09,12.81,81.38,0.2,3.84,0.04,132.0,Moderate
Amaravati,2018-01-03,71.57,137.48,5.01,39.99,45.0,25.61,0.09,16.82,80.3,0.24,6.55,0.11,136.0,Moderate
Amaravati,2018-01-04,92.44,174.75,5.84,53.79,59.629999999999995,19.45,0.11,16.93,71.09,0.3,7.23,0.23,182.0,Moderate
Amaravati,2018-01-05,92.9,162.69,6.38,56.39,62.77,21.02,0.08,23.11,68.79,0.29,7.88,0.2,222.0,Poor
Amaravati,2018-01-06,85.15,151.97,11.05,61.55,72.6,18.71,0.07,11.86,90.8,0.26,7.14,0.16,230.0,Poor
Amaravati,2018-01-07,81.47,145.68,6.45,46.9,53.35,20.18,0.07,9.63,96.49,0.25,7.26,0.15,224.0,Poor
Amaravati,2018-01-08,81.58,132.66,3.97,34.93,38.9,21.59,0.09,12.81,118.91,0.29,6.16,0.15,217.0,Poor
Amaravati,2018-01-09,79.56,146.64,4.44,37.58,42.019999999999996,17.71,0.05,17.77,137.61,0.05,1.1,0.02,230.0,Poor
Amaravati,2018-01-10,87.43,155.95,3.9,37.31,41.21,22.35,0.1,13.4,121.72,0.1,1.93,0.01,229.0,Poor
Amaravati,2018-01-11,87.33,153.97,3.95,42.52,46.470000000000006,23.66,0.08,35.39,106.17,0.22,6.61,0.07,229.0,Poor
Amaravati,2018-01-12,110.39,182.54,4.54,,56.78,24.74,0.04,36.01,82.2,0.28,8.48,0.12,235.0,Poor
Amaravati,2018-01-13,77.51,125.01,3.85,36.41,40.26,20.06,0.05,14.36,72.16,0.19,7.12,0.07,214.0,Poor
Amaravati,2018-01-14,86.96,129.99,3.65,28.32,31.97,21.23,0.05,4.83,62.6,0.23,6.93,0.07,186.0,Moderate
Amaravati,2018-01-15,76.29,115.53,2.96,21.35,24.310000000000002,20.38,0.05,8.75,69.99,0.18,7.71,0.07,172.0,Moderate
Amaravati,2018-01-16,67.06,100.34,3.22,20.25,23.47,18.78,0.06,4.7,54.92,0.15,6.52,0.07,138.0,Moderate
Amaravati,2018-01-17,68.34,104.45,,26.26,29.970000000000002,20.29,0.06,6.43,45.63,0.15,6.54,0.07,125.0,Moderate
Amaravati,2018-01-18,66.28,117.3,7.36,45.13,52.49,21.68,0.05,7.21,45.97,0.19,6.81,0.1,132.0,Moderate
Amaravati,2018-01-19,64.98,116.14,6.98,45.4,52.379999999999995,21.32,0.06,8.83,50.28,0.18,6.79,0.14,111.0,Moderate
Amaravati,2018-01-20,75.46,132.84,9.56,56.53,66.09,21.88,0.13,30.48,51.98,0.2,6.58,0.14,137.0,Moderate
Amaravati,2018-01-21,81.58,141.85,4.99,38.15,43.14,19.33,0.05,11.04,59.76,0.16,5.83,0.07,172.0,Moderate
Amaravati,2018-01-22,78.27,142.86,5.98,45.36,51.34,19.12,0.06,10.32,58.53,0.16,5.57,0.06,160.0,Moderate
Amaravati,2018-01-23,79.01,138.14,6.16,45.43,51.59,20.29,0.06,10.18,58.04,0.18,5.76,0.07,163.0,Moderate
Amaravati,2018-01-24,77.98,137.31,5.09,44.96,50.05,21.11,0.06,7.22,50.69,0.17,6.37,0.08,165.0,Moderate
Amaravati,2018-01-25,77.96,155.73,8.4,59.92,68.32000000000001,23.45,0.06,31.01,40.77,0.18,7.39,0.13,139.0,Moderate
Amaravati,2018-01-26,79.04,143.38,,43.61,49.8,26.0,0.08,8.67,45.46,0.19,7.14,0.1,176.0,Moderate
Amaravati,2018-01-27,77.78,131.14,6.1,43.84,49.940000000000005,26.3,0.09,7.62,43.26,0.18,6.61,0.07,162.0,Moderate
Amaravati,2018-01-28,76.48,131.86,,33.37,37.43,22.05,0.06,7.49,45.71,0.16,4.43,0.06,160.0,Moderate
Amaravati,2018-01-29,74.2,135.97,4.3,35.82,,20.24,0.07,12.16,53.0,0.15,4.24,0.05,142.0,Moderate
Amaravati,2018-01-30,78.23,140.66,5.36,,51.12,21.73,0.05,12.45,45.35,0.19,4.83,0.08,172.0,Moderate
Amaravati,2018-01-31,68.53,147.48,8.28,61.52,69.8,19.74,0.04,23.68,37.99,0.18,5.11,0.11,134.0,Moderate
Amaravati,2018-02-01,62.08,152.59,10.08,62.18,72.26,19.42,0.05,8.97,34.93,0.16,4.65,0.13,136.0,Moderate
Amaravati,2018-02-02,50.64,130.36,6.48,45.52,52.0,19.89,0.07,10.61,40.57,0.18,3.9,0.11,130.0,Moderate
Amaravati,2018-02-03,44.21,119.52,3.63,34.37,38.0,23.31,0.07,5.86,31.73,0.09,3.54,0.06,111.0,Moderate
