concentration,temperature_K,catalyst_batch,adsorption_capacity
1.186,346.4,5,3.89
2.857,343.7,5,4.795
2.223,325.9,3,4.311
1.836,345.3,5,4.303
0.552,295.3,4,4.678
0.552,301.8,5,2.73
0.268,292.7,3,1.512
2.612,309.5,3,4.689
1.843,313.3,4,5.903
2.153,306.3,2,4.374
0.16,339.7,2,0.1
2.913,311.4,5,4.163
2.514,306.9,1,4.423
0.716,322.6,5,3.04
0.627,298.5,4,2.805
0.632,338.1,4,3.038
0.982,294.5,4,5.529
1.622,349.2,4,4.201
1.353,336.3,4,3.902
0.945,301.9,3,3.324
1.874,290.3,2,4.201
0.505,338.9,4,2.746
0.947,332.4,1,3.476
1.162,333.7,1,3.872
1.423,336.3,1,4.111
2.377,294.4,1,3.852
0.679,311.5,3,2.907
1.591,297.0,1,3.942
1.818,341.8,4,4.377
0.235,327.4,5,2.541
1.862,309.9,1,4.117
0.595,293.8,3,5.232
0.289,308.7,3,1.798
2.852,309.5,1,3.113
2.9,333.8,5,5.188
2.444,328.3,1,4.522
0.983,343.2,3,3.582
0.383,318.3,2,0.1
2.084,297.2,4,4.009
1.376,332.8,3,3.998
0.454,335.6,1,2.582
1.536,323.7,4,4.054
0.2,336.3,1,1.536
2.737,319.6,1,4.473
0.85,321.4,2,4.115
2.021,315.7,4,6.731
1.004,291.5,4,3.283
1.608,296.5,2,3.799
1.685,291.9,3,3.929
0.636,328.2,1,2.963
2.912,308.9,5,4.562
2.348,320.5,1,4.577
