concentration,temperature_K,concentration_g_L,inverse_T,inlet_pressure_bar,run_order,reactor_id,operator_shift,batch_number,day_of_week,adsorption_capacity
1.174,327.1,68.08,0.003057,1.212,124,4,2,4,6,3.085
2.672,299.2,154.97,0.003342,0.55,16,1,3,7,6,4.42
2.103,303.1,121.98,0.003299,0.692,23,3,2,10,6,4.282
1.757,339.9,101.88,0.002942,1.367,182,3,1,18,5,2.959
0.606,325.3,35.13,0.003074,1.061,108,4,2,19,4,2.209
0.606,295.5,35.12,0.003385,0.522,4,2,2,4,3,3.291
0.351,300.1,20.36,0.003333,0.654,26,3,3,10,3,2.471
2.452,328.2,142.22,0.003047,1.151,110,3,2,1,1,3.778
1.763,295.3,102.25,0.003387,0.502,1,1,1,23,6,4.158
2.041,303.0,118.38,0.0033,0.701,32,1,1,18,1,4.431
0.254,322.4,14.7,0.003101,1.091,104,2,3,5,5,1.172
2.722,329.6,157.86,0.003034,1.19,147,3,1,15,5,3.622
2.364,327.6,137.13,0.003053,1.13,113,3,2,17,2,3.826
0.752,306.2,43.62,0.003266,0.728,50,1,1,3,5,3.24
0.673,330.6,39.02,0.003025,1.203,140,3,3,12,2,2.193
0.677,306.9,39.26,0.003259,0.753,44,4,2,2,4,3.071
0.991,311.3,57.48,0.003213,0.766,55,1,3,1,1,3.277
1.564,332.3,90.73,0.003009,1.26,155,2,2,23,7,2.992
1.323,327.5,76.74,0.003054,1.114,130,1,1,21,4,3.069
0.957,337.5,55.52,0.002963,1.395,171,3,3,17,5,2.244
1.791,327.9,103.87,0.00305,1.124,131,2,3,22,4,4.313
0.563,323.4,32.64,0.003092,1.036,117,1,2,16,4,2.129
0.96,299.7,55.66,0.003337,0.616,22,4,3,5,4,3.542
1.153,313.4,66.85,0.003191,0.868,74,4,2,15,5,3.336
1.386,308.3,80.38,0.003244,0.879,58,1,2,3,7,3.776
2.241,307.2,130.0,0.003255,0.663,49,4,2,7,6,4.085
0.719,343.7,41.71,0.00291,1.479,196,4,2,11,4,1.689
1.537,314.7,89.15,0.003178,0.95,76,4,1,10,2,3.664
1.74,339.6,100.94,0.002945,1.363,175,2,2,9,5,3.025
0.321,326.6,18.6,0.003062,1.086,122,4,3,14,4,1.348
1.78,334.7,103.22,0.002987,1.251,162,4,1,13,7,3.117
0.643,320.1,37.32,0.003124,0.922,101,4,3,2,6,2.459
0.369,323.8,21.41,0.003088,1.144,111,2,1,3,5,1.465
2.667,319.6,154.69,0.003129,0.976,86,1,2,7,3,3.828
2.711,304.8,157.22,0.003281,0.673,46,3,1,21,6,4.239
2.302,331.1,133.51,0.00302,1.116,164,4,1,18,2,3.537
0.992,309.0,57.54,0.003236,0.709,54,1,3,3,4,3.395
0.454,296.2,26.33,0.003376,0.598,2,4,3,10,7,3.116
1.979,327.3,114.78,0.003056,1.161,127,2,2,22,3,3.62
1.344,303.9,77.97,0.003291,0.735,39,1,1,7,7,3.81
0.517,342.0,30.0,0.002924,1.492,185,2,1,9,3,1.47
1.487,342.7,86.27,0.002918,1.404,194,4,1,17,5,2.585
0.289,340.7,16.79,0.002935,1.5,191,4,2,11,3,0.97
2.564,313.5,148.73,0.00319,0.968,81,2,2,7,2,4.073
0.873,295.8,50.62,0.003381,0.487,6,3,2,24,2,3.717
1.923,341.4,111.51,0.002929,1.25,193,2,2,14,1,2.959
1.01,316.4,58.61,0.00316,0.91,72,4,2,19,2,3.183
1.552,343.3,90.03,0.002913,1.479,186,2,3,4,6,2.922
1.621,343.2,94.04,0.002914,1.435,187,3,1,6,3,2.784
0.681,337.7,39.48,0.002962,1.342,172,2,1,10,2,1.952
2.721,309.7,157.81,0.003229,0.753,60,3,1,7,5,4.312
2.215,314.3,128.49,0.003182,0.931,77,3,1,13,7,3.928
2.643,337.6,153.28,0.002962,1.354,161,2,1,14,7,3.554
2.527,310.8,146.54,0.003217,0.864,69,2,1,4,1,4.157
1.755,303.5,101.76,0.003295,0.731,37,1,1,8,7,4.072
2.597,322.8,150.62,0.003098,0.948,102,4,1,5,3,3.804
0.43,341.8,24.94,0.002926,1.398,190,3,3,1,1,1.296
