temperature_C,pressure_bar,catalyst_batch,stable_operation
241.9,3.91,1,0
215.1,5.41,5,1
248.7,6.8,3,0
235.8,9.14,1,0
187.5,3.79,5,0
258.0,8.9,4,0
240.9,1.7,1,0
242.9,5.94,1,0
190.2,6.57,1,0
216.0,2.35,2,0
209.7,2.62,1,0
254.1,4.85,4,0
231.5,9.23,3,0
245.8,6.27,5,0
215.5,8.96,4,0
198.2,7.93,4,0
224.4,5.24,3,1
185.1,7.78,1,0
246.2,1.64,1,0
230.5,2.37,4,0
240.6,8.14,1,0
208.4,7.87,1,0
257.7,3.36,2,0
251.4,5.75,5,0
242.3,6.35,3,0
195.6,8.44,4,0
217.3,6.32,3,1
183.5,4.8,1,0
192.3,4.49,2,0
234.6,4.91,1,1
239.6,6.72,4,0
257.4,8.44,1,0
206.1,5.13,2,1
209.6,3.48,5,0
217.6,3.39,3,0
195.2,7.47,3,0
190.4,8.03,3,0
218.1,2.34,4,0
198.2,2.03,2,0
233.6,6.26,4,1
215.0,2.67,5,0
246.6,8.1,3,0
236.0,3.98,3,0
205.0,2.65,1,0
246.6,8.87,2,0
244.4,2.82,5,0
211.0,3.78,3,0
203.1,2.73,2,0
234.6,2.42,3,0
191.2,1.67,3,0
196.0,1.94,3,0
180.6,2.9,4,0
243.0,1.93,2,0
233.2,6.23,4,1
236.4,6.95,3,0
242.5,4.65,5,0
216.7,4.04,1,1
225.5,5.54,1,1
191.2,8.5,3,0
189.2,8.31,3,0
233.5,1.85,4,0
217.7,2.95,3,0
225.2,3.39,5,0
241.2,3.5,3,0
230.8,6.07,1,1
224.3,4.83,1,1
224.7,1.89,5,0
204.3,4.49,1,1
182.5,5.69,5,0
214.9,2.31,2,0
197.2,8.17,1,0
212.7,1.92,2,0
248.3,8.9,4,0
198.7,2.29,3,0
184.7,8.25,4,0
202.5,8.72,4,0
203.5,9.34,3,0
233.0,7.92,4,0
224.6,7.74,5,0
242.7,6.64,3,0
233.1,7.73,1,0
212.5,2.58,3,0
245.1,5.79,5,0
193.4,5.61,2,0
181.8,8.36,5,0
187.2,5.2,3,0
237.8,4.58,4,0
217.0,6.62,2,1
192.9,3.63,5,0
220.1,2.62,1,0
192.2,5.32,2,0
235.7,4.84,3,1
215.7,3.36,3,0
210.5,4.44,3,1
204.1,4.43,1,1
230.4,4.12,2,1
208.9,4.54,1,1
187.0,6.99,3,0
189.4,3.88,2,0
257.0,9.09,3,0
252.7,8.83,3,0
236.0,5.35,4,1
201.3,4.13,3,0
257.5,5.78,4,0
242.3,8.29,3,0
237.4,6.72,4,0
215.9,7.94,4,0
201.8,5.76,2,1
187.7,6.56,2,0
252.2,3.81,4,0
216.5,7.38,2,0
196.2,3.12,3,0
204.5,7.06,1,0
226.3,8.39,3,0
194.1,2.56,3,0
248.5,6.42,4,0
240.7,2.26,3,0
237.6,7.31,2,0
214.6,2.18,5,0
230.2,8.99,3,0
226.7,2.6,5,0
232.0,9.17,4,0
186.8,7.91,3,0
213.3,6.25,5,1
183.3,7.76,1,0
219.5,7.86,5,0
206.4,9.07,5,0
191.6,3.53,3,0
188.3,6.22,4,0
227.0,2.26,3,0
193.6,6.43,2,0
254.0,2.87,4,0
226.5,6.02,2,1
207.7,6.08,2,1
227.3,5.23,3,1
181.8,5.68,5,0
256.7,7.61,2,0
218.6,7.89,3,0
242.6,5.44,1,0
186.6,6.3,1,0
218.9,8.95,1,0
219.3,2.46,1,0
255.0,2.44,5,0
225.7,2.2,5,0
217.9,6.76,5,1
201.4,4.85,1,1
206.5,7.69,1,0
221.7,6.87,2,1
215.1,4.17,3,1
181.7,8.69,2,0
246.1,7.6,3,0
251.7,3.66,1,0
191.2,4.41,4,0
224.3,4.02,2,1
188.7,2.76,1,0
233.8,2.68,4,0
202.5,8.99,5,0
232.8,5.0,1,1
238.2,4.57,3,1
241.5,7.34,5,0
188.6,5.92,4,0
253.3,8.99,5,0
198.4,7.74,3,0
183.0,5.33,2,0
224.4,4.51,4,1
209.7,9.39,1,0
246.4,7.24,2,0
244.7,9.11,4,0
205.4,2.45,4,0
256.2,8.3,1,0
203.3,6.6,3,1
221.2,2.48,2,0
200.5,6.21,3,1
254.9,6.99,5,0
193.2,1.6,1,0
183.6,5.13,5,0
214.8,8.1,3,0
259.4,3.86,4,0
251.3,5.17,3,0
239.9,5.04,2,0
251.3,3.92,4,0
251.5,8.85,4,0
221.5,7.75,1,0
205.3,2.38,4,0
241.8,9.48,4,0
232.9,8.53,2,0
209.9,3.77,5,0
187.6,8.2,4,0
239.7,2.35,2,0
201.0,9.49,1,0
254.9,6.83,4,0
199.3,6.7,2,0
189.8,2.22,4,0
246.5,8.68,3,0
192.3,1.73,3,0
194.3,3.43,1,0
228.0,2.64,4,0
250.0,7.71,1,0
195.7,3.09,3,0
204.8,8.79,5,0
242.2,6.75,5,0
257.7,1.79,5,0
220.1,1.54,5,0
191.5,1.91,3,0
181.1,6.35,2,0
198.4,7.91,5,0
190.5,3.41,5,0
234.2,8.3,5,0
189.7,1.96,4,0
220.5,7.91,1,0
235.5,8.92,3,0
226.5,7.68,3,0
196.0,7.08,5,0
244.3,8.2,2,0
237.2,1.82,2,0
239.1,3.11,1,0
190.5,2.5,5,0
189.9,5.54,4,0
254.2,7.46,1,0
211.8,6.54,3,1
